Madame Stahl,Princess Ekaterina Alexandrovna Shtcherbatsky,32
Madame Stahl,Varvara Andreevna,28
Madame Stahl,Petrov,2
Madame Stahl,Prince Alexander Shtcherbatsky,2
Madame Stahl,Sergey Ivanovitch Koznishev,4
Madame Stahl,Countess Lidia Ivanovna,2
Golenishtchev,Count Alexey Kirillovitch Vronsky,62
Golenishtchev,Madame Karenina,6
Golenishtchev,Anna Arkadyevna Karenin,36
Golenishtchev,Alexey Alexandrovitch Karenin,2
Golenishtchev,Countess Vronsky,14
Golenishtchev,Mihailov,26
Countess Nordston,Princess Ekaterina Alexandrovna Shtcherbatsky,16
Countess Nordston,Konstantin Dmitrievitch Levin,22
Countess Nordston,Count Alexey Kirillovitch Vronsky,4
Countess Nordston,Countess Vronsky,2
Countess Nordston,Anna Arkadyevna Karenin,2
Countess Nordston,Yegorushka Korsunsky,2
Countess Lidia Ivanovna,Anna Arkadyevna Karenin,30
Countess Lidia Ivanovna,Alexey Alexandrovitch Karenin,70
Countess Lidia Ivanovna,Madame Karenina,4
Countess Lidia Ivanovna,Princess Betsy Tverskoy,4
Countess Lidia Ivanovna,Countess Vronsky,4
Countess Lidia Ivanovna,Count Alexey Kirillovitch Vronsky,12
Countess Lidia Ivanovna,Sergey,14
Countess Lidia Ivanovna,Vassily Fedorovitch,2
Countess Lidia Ivanovna,Marya Nikolaevna,2
Countess Lidia Ivanovna,Konstantin Dmitrievitch Levin,2
Countess Lidia Ivanovna,Prince Stepan Arkadyevitch Oblonsky,22
Countess Lidia Ivanovna,Madame Stahl,2
Countess Lidia Ivanovna,Sergey Ivanovitch Koznishev,2
Grisha,Tanya,14
Grisha,Prince Stepan Arkadyevitch Oblonsky,10
Grisha,Princess Darya Alexandrovna,22
Grisha,Anna Arkadyevna Karenin,2
Grisha,Konstantin Dmitrievitch Levin,12
Grisha,Princess Ekaterina Alexandrovna Shtcherbatsky,4
Grisha,Varvara Andreevna,2
Grisha,Sergey Ivanovitch Koznishev,4
Grisha,Princess Varvara,2
Grisha,Vassenka Veslovsky,4
Grisha,Nikolay Ivanovitch Sviazhsky,2
Grisha,Count Alexey Kirillovitch Vronsky,4
Grisha,Prince Alexander Shtcherbatsky,2
Princess Betsy Tverskoy,Anna Arkadyevna Karenin,84
Princess Betsy Tverskoy,Prince Stepan Arkadyevitch Oblonsky,18
Princess Betsy Tverskoy,Madame Karenina,6
Princess Betsy Tverskoy,Countess Vronsky,12
Princess Betsy Tverskoy,Countess Lidia Ivanovna,4
Princess Betsy Tverskoy,Count Alexey Kirillovitch Vronsky,40
Princess Betsy Tverskoy,Alexey Alexandrovitch Karenin,42
Princess Betsy Tverskoy,Baroness Shilton,2
Princess Betsy Tverskoy,Varya,2
Princess Betsy Tverskoy,Princess Varvara,2
Princess Betsy Tverskoy,Nikolay Ivanovitch Sviazhsky,2
Princess Betsy Tverskoy,Vassenka Veslovsky,2
Princess Betsy Tverskoy,Anna Pavlovna,2
Anna Pavlovna,Princess Ekaterina Alexandrovna Shtcherbatsky,10
Anna Pavlovna,Varvara Andreevna,4
Anna Pavlovna,Petrov,4
Anna Pavlovna,Princess Varvara,4
Anna Pavlovna,Prince Stepan Arkadyevitch Oblonsky,2
Anna Pavlovna,Alexey Alexandrovitch Karenin,2
Anna Pavlovna,Nikolay Ivanovitch Sviazhsky,2
Anna Pavlovna,Princess Betsy Tverskoy,2
Anna Pavlovna,Count Alexey Kirillovitch Vronsky,2
Anna Pavlovna,Vassenka Veslovsky,2
Anna Pavlovna,Anna Arkadyevna Karenin,2
