,station,stress,latitude,longitude,geometry,covid_19_deaths_per_thousand
102,lower-sydenham,42,51.424846842511606,-0.033330341542937,POINT (-0.033330341542937 51.42484684251161),0.402955003
103,new-beckenham,42,51.416705548656,-0.0353049493204362,POINT (-0.0353049493204362 51.416705548656),0.370988685
104,clock-house,42,51.4085405609855,-0.0407020925904992,POINT (-0.0407020925904992 51.4085405609855),0.370988685
105,elmers-end,42,51.398291108624896,-0.0494638322785197,POINT (-0.0494638322785197 51.3982911086249),0.246487552
106,arena,45,51.391522751976794,-0.0583185500805117,POINT (-0.0583185500805117 51.39152275197679),0.390320062
107,woodside,45,51.387097683133895,-0.0653471780994997,POINT (-0.06534717809949971 51.3870976831339),0.680812436
108,blackhorse-lane,45,51.3847461833949,-0.0705339478990595,POINT (-0.07053394789905949 51.3847461833949),0.680812436
109,addiscombe,45,51.379808289594095,-0.0732132828267587,POINT (-0.07321328282675869 51.3798082895941),0.204185809
110,sandilands,900,51.375022272149714,-0.0780265897730704,POINT (-0.07802658977307041 51.37502227214971),0.803277372
111,lloyd-park,893,51.364275535154114,-0.0807462730721692,POINT (-0.08074627307216919 51.36427553515411),0.803277372
112,coombe-lane,892,51.3597893094901,-0.0595315713236646,POINT (-0.0595315713236646 51.3597893094901),1.194426012
113,gravel-hill,889,51.3545432553855,-0.0431216987549667,POINT (-0.0431216987549667 51.3545432553855),1.194426012
114,addington-village,886,51.356238590430095,-0.032665100391443,POINT (-0.032665100391443 51.3562385904301),0.592329335
115,aldgate-east,3994,51.5150816226404,-0.0730014627258136,POINT (-0.07300146272581361 51.5150816226404),0.255580167
116,moorgate,15449,51.5184371390077,-0.0890176878750945,POINT (-0.08901768787509449 51.5184371390077),1.459034792
117,old-street,11196,51.525581471626,-0.0876229578285339,POINT (-0.0876229578285339 51.525581471626),0.253421186
118,angel,7236,51.53296801568911,-0.10558144894639801,POINT (-0.105581448946398 51.53296801568911),1.730935667
119,st-pancras,2870,51.53055440168139,-0.12550578197006002,POINT (-0.12550578197006 51.53055440168139),0.181175831
120,kentish-town,12177,51.55000952169021,-0.140471263842415,POINT (-0.140471263842415 51.55000952169021),0.344589938
121,tufnell-park,10055,51.55644079793471,-0.137742175150487,POINT (-0.137742175150487 51.55644079793471),0.467344316
122,archway,8858,51.5654905340774,-0.135121576677549,POINT (-0.135121576677549 51.5654905340774),0.225326724
